id,service,region,description,unit,currency,usd_per_unit,price_scope,source_url,retrieved_on,notes
ec2_t4g_small,Amazon EC2,ap-southeast-1,Linux t4g.small On-Demand instance,instance-hour,USD,0.0212,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,No reservation Savings Plan Spot credit or free credit
ec2_t4g_medium,Amazon EC2,ap-southeast-1,Linux t4g.medium On-Demand instance,instance-hour,USD,0.0424,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,No reservation Savings Plan Spot credit or free credit
ec2_t4g_surplus,Amazon EC2,ap-southeast-1,T4g unlimited-mode surplus CPU credit,vCPU-hour,USD,0.04,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Applied only to explicit surplus-vCPU-hour sensitivity
ebs_gp3_storage,Amazon EBS,ap-southeast-1,gp3 storage,GB-month,USD,0.096,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Includes gp3 baseline performance
ebs_gp3_iops,Amazon EBS,ap-southeast-1,gp3 provisioned IOPS above included amount,IOPS-month,USD,0.006,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Zero units in baseline
ebs_gp3_throughput,Amazon EBS,ap-southeast-1,gp3 throughput above included amount,MiBps-month,USD,0.048,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Zero units in baseline
ebs_snapshot,Amazon EBS,ap-southeast-1,EBS snapshot storage,GB-month,USD,0.05,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Only explicit retained-snapshot sensitivity
public_ipv4,Amazon VPC,ap-southeast-1,In-use or idle public IPv4 address,IP-hour,USD,0.005,gross,https://aws.amazon.com/vpc/pricing/,2026-09-06,Per-second billing with a 60-second minimum; counts associated Elastic IPs and conditional Fargate task IPs
alb_hour,Elastic Load Balancing,ap-southeast-1,Application Load Balancer,load-balancer-hour,USD,0.0252,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Public catalog SKU CUS2HTMETFUEKZ44
alb_lcu_hour,Elastic Load Balancing,ap-southeast-1,Application Load Balancer capacity unit,LCU-hour,USD,0.008,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Public catalog SKU 6FWN6TQ5XDK37Q3P; monthly baseline assumes one LCU
nat_gateway_hour,Amazon VPC,ap-southeast-1,NAT gateway,nat-gateway-hour,USD,0.059,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Conditional private-Fargate sensitivity only
nat_gateway_data,Amazon VPC,ap-southeast-1,NAT gateway data processing,GB,USD,0.059,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Conditional private-Fargate sensitivity only
interface_endpoint_hour,Amazon VPC,ap-southeast-1,Interface VPC endpoint per Availability Zone,endpoint-hour,USD,0.013,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonVPC/current/ap-southeast-1/index.json,2026-09-06,Conditional private-Fargate alternative to NAT
interface_endpoint_data,Amazon VPC,ap-southeast-1,Interface VPC endpoint first-PB processing,GB,USD,0.01,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonVPC/current/ap-southeast-1/index.json,2026-09-06,Conditional private-Fargate alternative to NAT
regional_cross_az,Amazon EC2,ap-southeast-1,Regional data transfer across Availability Zones,GB,USD,0.01,gross,https://aws.amazon.com/rds/pricing/,2026-09-06,Applied to aggregate bidirectional EC2-to-RDS bytes when placements differ
ec2_internet_data_out,Amazon EC2,ap-southeast-1,Internet data transfer out first 10 TB,GB,USD,0.12,gross,https://aws.amazon.com/ec2/pricing/on-demand/,2026-09-06,Non-CloudFront sensitivity; monthly 100-GB AWS allowance is excluded from gross rate
nlb_hour,Elastic Load Balancing,ap-southeast-1,Network Load Balancer,nlb-hour,USD,0.0252,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Conditional Fargate topology uses one single-AZ NLB
nlb_lcu,Elastic Load Balancing,ap-southeast-1,Network Load Balancer capacity unit,NLCU-hour,USD,0.006,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/ap-southeast-1/index.json,2026-09-06,Conditional Fargate estimate assumes one NLCU continuously
route53_private_zone,Amazon Route 53,global,Private hosted zone first 25 zones,hosted-zone-month,USD,0.50,gross,https://aws.amazon.com/route53/pricing/,2026-09-06,Conditional Fargate service discovery namespace; fee is not prorated
